,Attack,Attacker_Level,Power,Defense,Defender_Level,Damage
155,5.0,7.0,130.0,59.0,7.0,7
156,5.0,7.0,130.0,59.0,28.0,4
157,5.0,7.0,130.0,59.0,49.0,3
158,5.0,7.0,130.0,59.0,77.0,3
159,5.0,7.0,130.0,59.0,98.0,3
160,5.0,7.0,130.0,113.0,7.0,5
161,5.0,7.0,130.0,113.0,28.0,3
162,5.0,7.0,130.0,113.0,49.0,3
163,5.0,7.0,130.0,113.0,77.0,2
164,5.0,7.0,130.0,113.0,98.0,2
165,5.0,7.0,130.0,185.0,7.0,4
166,5.0,7.0,130.0,185.0,28.0,3
167,5.0,7.0,130.0,185.0,49.0,2
168,5.0,7.0,130.0,185.0,77.0,2
169,5.0,7.0,130.0,185.0,98.0,2
170,5.0,7.0,130.0,239.0,7.0,4
171,5.0,7.0,130.0,239.0,28.0,2
172,5.0,7.0,130.0,239.0,49.0,2
173,5.0,7.0,130.0,239.0,77.0,2
174,5.0,7.0,130.0,239.0,98.0,2
175,5.0,7.0,150.0,5.0,7.0,16
176,5.0,7.0,150.0,5.0,28.0,12
177,5.0,7.0,150.0,5.0,49.0,10
178,5.0,7.0,150.0,5.0,77.0,8
179,5.0,7.0,150.0,5.0,98.0,7
180,5.0,7.0,150.0,59.0,7.0,8
181,5.0,7.0,150.0,59.0,28.0,4
182,5.0,7.0,150.0,59.0,49.0,3
183,5.0,7.0,150.0,59.0,77.0,3
184,5.0,7.0,150.0,59.0,98.0,3
185,5.0,7.0,150.0,113.0,7.0,6
186,5.0,7.0,150.0,113.0,28.0,3
187,5.0,7.0,150.0,113.0,49.0,3
188,5.0,7.0,150.0,113.0,77.0,2
189,5.0,7.0,150.0,113.0,98.0,2
190,5.0,7.0,150.0,185.0,7.0,4
191,5.0,7.0,150.0,185.0,28.0,3
192,5.0,7.0,150.0,185.0,49.0,2
193,5.0,7.0,150.0,185.0,77.0,2
194,5.0,7.0,150.0,185.0,98.0,2
195,5.0,7.0,150.0,239.0,7.0,4
196,5.0,7.0,150.0,239.0,28.0,3
197,5.0,7.0,150.0,239.0,49.0,2
198,5.0,7.0,150.0,239.0,77.0,2
199,5.0,7.0,150.0,239.0,98.0,2
200,5.0,7.0,170.0,5.0,7.0,18
201,5.0,7.0,170.0,5.0,28.0,14
202,5.0,7.0,170.0,5.0,49.0,11
203,5.0,7.0,170.0,5.0,77.0,9
204,5.0,7.0,170.0,5.0,98.0,8
205,5.0,7.0,170.0,59.0,7.0,8
206,5.0,7.0,170.0,59.0,28.0,4
207,5.0,7.0,170.0,59.0,49.0,3
208,5.0,7.0,170.0,59.0,77.0,3
209,5.0,7.0,170.0,59.0,98.0,3
210,5.0,7.0,170.0,113.0,7.0,6
211,5.0,7.0,170.0,113.0,28.0,3
212,5.0,7.0,170.0,113.0,49.0,3
213,5.0,7.0,170.0,113.0,77.0,2
214,5.0,7.0,170.0,113.0,98.0,2
215,5.0,7.0,170.0,185.0,7.0,5
216,5.0,7.0,170.0,185.0,28.0,3
217,5.0,7.0,170.0,185.0,49.0,2
218,5.0,7.0,170.0,185.0,77.0,2
219,5.0,7.0,170.0,185.0,98.0,2
220,5.0,7.0,170.0,239.0,7.0,4
221,5.0,7.0,170.0,239.0,28.0,3
222,5.0,7.0,170.0,239.0,49.0,2
223,5.0,7.0,170.0,239.0,77.0,2
224,5.0,7.0,170.0,239.0,98.0,2
225,5.0,7.0,190.0,5.0,7.0,20
226,5.0,7.0,190.0,5.0,28.0,15
227,5.0,7.0,190.0,5.0,49.0,12
228,5.0,7.0,190.0,5.0,77.0,10
229,5.0,7.0,190.0,5.0,98.0,9
230,5.0,7.0,190.0,59.0,7.0,9
231,5.0,7.0,190.0,59.0,28.0,4
232,5.0,7.0,190.0,59.0,49.0,3
233,5.0,7.0,190.0,59.0,77.0,3
234,5.0,7.0,190.0,59.0,98.0,3
235,5.0,7.0,190.0,113.0,7.0,7
236,5.0,7.0,190.0,113.0,28.0,3
237,5.0,7.0,190.0,113.0,49.0,3
238,5.0,7.0,190.0,113.0,77.0,3
239,5.0,7.0,190.0,113.0,98.0,2
240,5.0,7.0,190.0,185.0,7.0,5
241,5.0,7.0,190.0,185.0,28.0,3
242,5.0,7.0,190.0,185.0,49.0,2
243,5.0,7.0,190.0,185.0,77.0,2
244,5.0,7.0,190.0,185.0,98.0,2
245,5.0,7.0,190.0,239.0,7.0,4
246,5.0,7.0,190.0,239.0,28.0,3
247,5.0,7.0,190.0,239.0,49.0,2
248,5.0,7.0,190.0,239.0,77.0,2
249,5.0,7.0,190.0,239.0,98.0,2
250,5.0,7.0,210.0,5.0,7.0,22
251,5.0,7.0,210.0,5.0,28.0,16
252,5.0,7.0,210.0,5.0,49.0,13
253,5.0,7.0,210.0,5.0,77.0,10
254,5.0,7.0,210.0,5.0,98.0,9
255,5.0,7.0,210.0,59.0,7.0,10
256,5.0,7.0,210.0,59.0,28.0,5
257,5.0,7.0,210.0,59.0,49.0,4
258,5.0,7.0,210.0,59.0,77.0,3
259,5.0,7.0,210.0,59.0,98.0,3
260,5.0,7.0,210.0,113.0,7.0,7
261,5.0,7.0,210.0,113.0,28.0,3
262,5.0,7.0,210.0,113.0,49.0,3
263,5.0,7.0,210.0,113.0,77.0,3
264,5.0,7.0,210.0,113.0,98.0,2
265,5.0,7.0,210.0,185.0,7.0,5
266,5.0,7.0,210.0,185.0,28.0,3
267,5.0,7.0,210.0,185.0,49.0,3
268,5.0,7.0,210.0,185.0,77.0,2
269,5.0,7.0,210.0,185.0,98.0,2
270,5.0,7.0,210.0,239.0,7.0,5
271,5.0,7.0,210.0,239.0,28.0,3
272,5.0,7.0,210.0,239.0,49.0,2
273,5.0,7.0,210.0,239.0,77.0,2
274,5.0,7.0,210.0,239.0,98.0,2
275,5.0,7.0,230.0,5.0,7.0,24
276,5.0,7.0,230.0,5.0,28.0,18
277,5.0,7.0,230.0,5.0,49.0,14
278,5.0,7.0,230.0,5.0,77.0,11
279,5.0,7.0,230.0,5.0,98.0,10
280,5.0,7.0,230.0,59.0,7.0,10
281,5.0,7.0,230.0,59.0,28.0,5
282,5.0,7.0,230.0,59.0,49.0,4
283,5.0,7.0,230.0,59.0,77.0,3
284,5.0,7.0,230.0,59.0,98.0,3
285,5.0,7.0,230.0,113.0,7.0,8
286,5.0,7.0,230.0,113.0,28.0,4
287,5.0,7.0,230.0,113.0,49.0,3
288,5.0,7.0,230.0,113.0,77.0,3
289,5.0,7.0,230.0,113.0,98.0,2
290,5.0,7.0,230.0,185.0,7.0,6
291,5.0,7.0,230.0,185.0,28.0,3
292,5.0,7.0,230.0,185.0,49.0,3
293,5.0,7.0,230.0,185.0,77.0,2
294,5.0,7.0,230.0,185.0,98.0,2
295,5.0,7.0,230.0,239.0,7.0,5
296,5.0,7.0,230.0,239.0,28.0,3
297,5.0,7.0,230.0,239.0,49.0,2
298,5.0,7.0,230.0,239.0,77.0,2
299,5.0,7.0,230.0,239.0,98.0,2
300,5.0,7.0,250.0,5.0,7.0,26
301,5.0,7.0,250.0,5.0,28.0,19
302,5.0,7.0,250.0,5.0,49.0,15
303,5.0,7.0,250.0,5.0,77.0,12
304,5.0,7.0,250.0,5.0,98.0,11
305,5.0,7.0,250.0,59.0,7.0,11
306,5.0,7.0,250.0,59.0,28.0,5
307,5.0,7.0,250.0,59.0,49.0,4
308,5.0,7.0,250.0,59.0,77.0,3
309,5.0,7.0,250.0,59.0,98.0,3
310,5.0,7.0,250.0,113.0,7.0,8
311,5.0,7.0,250.0,113.0,28.0,4
312,5.0,7.0,250.0,113.0,49.0,3
313,5.0,7.0,250.0,113.0,77.0,3
314,5.0,7.0,250.0,113.0,98.0,3
315,5.0,7.0,250.0,185.0,7.0,6
316,5.0,7.0,250.0,185.0,28.0,3
317,5.0,7.0,250.0,185.0,49.0,3
318,5.0,7.0,250.0,185.0,77.0,2
319,5.0,7.0,250.0,185.0,98.0,2
320,5.0,7.0,250.0,239.0,7.0,5
321,5.0,7.0,250.0,239.0,28.0,3
322,5.0,7.0,250.0,239.0,49.0,3
323,5.0,7.0,250.0,239.0,77.0,2
324,5.0,7.0,250.0,239.0,98.0,2
325,5.0,28.0,10.0,5.0,7.0,6
326,5.0,28.0,10.0,5.0,28.0,5
327,5.0,28.0,10.0,5.0,49.0,4
328,5.0,28.0,10.0,5.0,77.0,4
329,5.0,28.0,10.0,5.0,98.0,3
330,5.0,28.0,10.0,59.0,7.0,3
331,5.0,28.0,10.0,59.0,28.0,2
332,5.0,28.0,10.0,59.0,49.0,2
333,5.0,28.0,10.0,59.0,77.0,2
334,5.0,28.0,10.0,59.0,98.0,2
335,5.0,28.0,10.0,113.0,7.0,3
336,5.0,28.0,10.0,113.0,28.0,2
337,5.0,28.0,10.0,113.0,49.0,2
338,5.0,28.0,10.0,113.0,77.0,2
339,5.0,28.0,10.0,113.0,98.0,2
340,5.0,28.0,10.0,185.0,7.0,3
341,5.0,28.0,10.0,185.0,28.0,2
342,5.0,28.0,10.0,185.0,49.0,2
343,5.0,28.0,10.0,185.0,77.0,2
344,5.0,28.0,10.0,185.0,98.0,2
345,5.0,28.0,10.0,239.0,7.0,2
346,5.0,28.0,10.0,239.0,28.0,2
347,5.0,28.0,10.0,239.0,49.0,2
348,5.0,28.0,10.0,239.0,77.0,2
349,5.0,28.0,10.0,239.0,98.0,2
350,5.0,28.0,30.0,5.0,7.0,13
351,5.0,28.0,30.0,5.0,28.0,10
352,5.0,28.0,30.0,5.0,49.0,8
353,5.0,28.0,30.0,5.0,77.0,7
354,5.0,28.0,30.0,5.0,98.0,6
355,5.0,28.0,30.0,59.0,7.0,6
356,5.0,28.0,30.0,59.0,28.0,3
357,5.0,28.0,30.0,59.0,49.0,3
358,5.0,28.0,30.0,59.0,77.0,3
359,5.0,28.0,30.0,59.0,98.0,2
360,5.0,28.0,30.0,113.0,7.0,5
361,5.0,28.0,30.0,113.0,28.0,3
362,5.0,28.0,30.0,113.0,49.0,2
363,5.0,28.0,30.0,113.0,77.0,2
364,5.0,28.0,30.0,113.0,98.0,2
365,5.0,28.0,30.0,185.0,7.0,4
366,5.0,28.0,30.0,185.0,28.0,3
367,5.0,28.0,30.0,185.0,49.0,2
368,5.0,28.0,30.0,185.0,77.0,2
369,5.0,28.0,30.0,185.0,98.0,2
370,5.0,28.0,30.0,239.0,7.0,3
371,5.0,28.0,30.0,239.0,28.0,2
372,5.0,28.0,30.0,239.0,49.0,2
373,5.0,28.0,30.0,239.0,77.0,2
374,5.0,28.0,30.0,239.0,98.0,2
375,5.0,28.0,50.0,5.0,7.0,20
376,5.0,28.0,50.0,5.0,28.0,15
377,5.0,28.0,50.0,5.0,49.0,12
378,5.0,28.0,50.0,5.0,77.0,10
379,5.0,28.0,50.0,5.0,98.0,9
380,5.0,28.0,50.0,59.0,7.0,9
381,5.0,28.0,50.0,59.0,28.0,4
382,5.0,28.0,50.0,59.0,49.0,3
383,5.0,28.0,50.0,59.0,77.0,3
384,5.0,28.0,50.0,59.0,98.0,3
385,5.0,28.0,50.0,113.0,7.0,7
386,5.0,28.0,50.0,113.0,28.0,3
387,5.0,28.0,50.0,113.0,49.0,3
388,5.0,28.0,50.0,113.0,77.0,3
389,5.0,28.0,50.0,113.0,98.0,2
390,5.0,28.0,50.0,185.0,7.0,5
391,5.0,28.0,50.0,185.0,28.0,3
392,5.0,28.0,50.0,185.0,49.0,2
393,5.0,28.0,50.0,185.0,77.0,2
394,5.0,28.0,50.0,185.0,98.0,2
395,5.0,28.0,50.0,239.0,7.0,4
396,5.0,28.0,50.0,239.0,28.0,3
397,5.0,28.0,50.0,239.0,49.0,2
398,5.0,28.0,50.0,239.0,77.0,2
399,5.0,28.0,50.0,239.0,98.0,2
400,5.0,28.0,70.0,5.0,7.0,28
401,5.0,28.0,70.0,5.0,28.0,20
402,5.0,28.0,70.0,5.0,49.0,16
403,5.0,28.0,70.0,5.0,77.0,13
404,5.0,28.0,70.0,5.0,98.0,11
405,5.0,28.0,70.0,59.0,7.0,12
406,5.0,28.0,70.0,59.0,28.0,5
407,5.0,28.0,70.0,59.0,49.0,4
408,5.0,28.0,70.0,59.0,77.0,3
409,5.0,28.0,70.0,59.0,98.0,3
410,5.0,28.0,70.0,113.0,7.0,8
411,5.0,28.0,70.0,113.0,28.0,4
412,5.0,28.0,70.0,113.0,49.0,3
413,5.0,28.0,70.0,113.0,77.0,3
414,5.0,28.0,70.0,113.0,98.0,3
415,5.0,28.0,70.0,185.0,7.0,6
416,5.0,28.0,70.0,185.0,28.0,3
417,5.0,28.0,70.0,185.0,49.0,3
418,5.0,28.0,70.0,185.0,77.0,2
419,5.0,28.0,70.0,185.0,98.0,2
420,5.0,28.0,70.0,239.0,7.0,5
421,5.0,28.0,70.0,239.0,28.0,3
422,5.0,28.0,70.0,239.0,49.0,3
423,5.0,28.0,70.0,239.0,77.0,2
424,5.0,28.0,70.0,239.0,98.0,2
425,5.0,28.0,90.0,5.0,7.0,35
426,5.0,28.0,90.0,5.0,28.0,26
427,5.0,28.0,90.0,5.0,49.0,20
428,5.0,28.0,90.0,5.0,77.0,16
429,5.0,28.0,90.0,5.0,98.0,14
430,5.0,28.0,90.0,59.0,7.0,15
431,5.0,28.0,90.0,59.0,28.0,6
432,5.0,28.0,90.0,59.0,49.0,5
433,5.0,28.0,90.0,59.0,77.0,4
434,5.0,28.0,90.0,59.0,98.0,3
435,5.0,28.0,90.0,113.0,7.0,10
436,5.0,28.0,90.0,113.0,28.0,4
437,5.0,28.0,90.0,113.0,49.0,3
438,5.0,28.0,90.0,113.0,77.0,3
439,5.0,28.0,90.0,113.0,98.0,3
440,5.0,28.0,90.0,185.0,7.0,8
441,5.0,28.0,90.0,185.0,28.0,4
442,5.0,28.0,90.0,185.0,49.0,3
443,5.0,28.0,90.0,185.0,77.0,3
444,5.0,28.0,90.0,185.0,98.0,2
445,5.0,28.0,90.0,239.0,7.0,6
446,5.0,28.0,90.0,239.0,28.0,3
447,5.0,28.0,90.0,239.0,49.0,3
448,5.0,28.0,90.0,239.0,77.0,2
449,5.0,28.0,90.0,239.0,98.0,2
450,5.0,28.0,110.0,5.0,7.0,43
451,5.0,28.0,110.0,5.0,28.0,31
452,5.0,28.0,110.0,5.0,49.0,25
453,5.0,28.0,110.0,5.0,77.0,19
454,5.0,28.0,110.0,5.0,98.0,17
455,5.0,28.0,110.0,59.0,7.0,18
456,5.0,28.0,110.0,59.0,28.0,7
457,5.0,28.0,110.0,59.0,49.0,5
458,5.0,28.0,110.0,59.0,77.0,4
459,5.0,28.0,110.0,59.0,98.0,4
460,5.0,28.0,110.0,113.0,7.0,12
461,5.0,28.0,110.0,113.0,28.0,5
462,5.0,28.0,110.0,113.0,49.0,4
463,5.0,28.0,110.0,113.0,77.0,3
464,5.0,28.0,110.0,113.0,98.0,3
465,5.0,28.0,110.0,185.0,7.0,9
466,5.0,28.0,110.0,185.0,28.0,4
467,5.0,28.0,110.0,185.0,49.0,3
468,5.0,28.0,110.0,185.0,77.0,3
469,5.0,28.0,110.0,185.0,98.0,3
470,5.0,28.0,110.0,239.0,7.0,7
471,5.0,28.0,110.0,239.0,28.0,3
472,5.0,28.0,110.0,239.0,49.0,3
473,5.0,28.0,110.0,239.0,77.0,3
474,5.0,28.0,110.0,239.0,98.0,2
475,5.0,28.0,130.0,5.0,7.0,50
476,5.0,28.0,130.0,5.0,28.0,36
477,5.0,28.0,130.0,5.0,49.0,29
478,5.0,28.0,130.0,5.0,77.0,22
479,5.0,28.0,130.0,5.0,98.0,19
480,5.0,28.0,130.0,59.0,7.0,20
481,5.0,28.0,130.0,59.0,28.0,8
482,5.0,28.0,130.0,59.0,49.0,6
483,5.0,28.0,130.0,59.0,77.0,5
484,5.0,28.0,130.0,59.0,98.0,4
485,5.0,28.0,130.0,113.0,7.0,14
486,5.0,28.0,130.0,113.0,28.0,6
487,5.0,28.0,130.0,113.0,49.0,4
488,5.0,28.0,130.0,113.0,77.0,3
489,5.0,28.0,130.0,113.0,98.0,3
490,5.0,28.0,130.0,185.0,7.0,10
491,5.0,28.0,130.0,185.0,28.0,4
492,5.0,28.0,130.0,185.0,49.0,3
493,5.0,28.0,130.0,185.0,77.0,3
494,5.0,28.0,130.0,185.0,98.0,3
495,5.0,28.0,130.0,239.0,7.0,8
496,5.0,28.0,130.0,239.0,28.0,4
497,5.0,28.0,130.0,239.0,49.0,3
498,5.0,28.0,130.0,239.0,77.0,3
499,5.0,28.0,130.0,239.0,98.0,3
500,5.0,28.0,150.0,5.0,7.0,57
501,5.0,28.0,150.0,5.0,28.0,42
502,5.0,28.0,150.0,5.0,49.0,33
503,5.0,28.0,150.0,5.0,77.0,25
504,5.0,28.0,150.0,5.0,98.0,22
505,5.0,28.0,150.0,59.0,7.0,23
506,5.0,28.0,150.0,59.0,28.0,9
507,5.0,28.0,150.0,59.0,49.0,6
508,5.0,28.0,150.0,59.0,77.0,5
509,5.0,28.0,150.0,59.0,98.0,4
510,5.0,28.0,150.0,113.0,7.0,16
511,5.0,28.0,150.0,113.0,28.0,6
512,5.0,28.0,150.0,113.0,49.0,4
513,5.0,28.0,150.0,113.0,77.0,4
514,5.0,28.0,150.0,113.0,98.0,3
515,5.0,28.0,150.0,185.0,7.0,11
516,5.0,28.0,150.0,185.0,28.0,5
517,5.0,28.0,150.0,185.0,49.0,3
518,5.0,28.0,150.0,185.0,77.0,3
519,5.0,28.0,150.0,185.0,98.0,3
520,5.0,28.0,150.0,239.0,7.0,9
521,5.0,28.0,150.0,239.0,28.0,4
522,5.0,28.0,150.0,239.0,49.0,3
523,5.0,28.0,150.0,239.0,77.0,3
524,5.0,28.0,150.0,239.0,98.0,3
525,5.0,28.0,170.0,5.0,7.0,65
526,5.0,28.0,170.0,5.0,28.0,47
527,5.0,28.0,170.0,5.0,49.0,37
528,5.0,28.0,170.0,5.0,77.0,28
529,5.0,28.0,170.0,5.0,98.0,24
530,5.0,28.0,170.0,59.0,7.0,26
531,5.0,28.0,170.0,59.0,28.0,10
532,5.0,28.0,170.0,59.0,49.0,7
533,5.0,28.0,170.0,59.0,77.0,5
534,5.0,28.0,170.0,59.0,98.0,5
535,5.0,28.0,170.0,113.0,7.0,18
536,5.0,28.0,170.0,113.0,28.0,7
537,5.0,28.0,170.0,113.0,49.0,5
538,5.0,28.0,170.0,113.0,77.0,4
539,5.0,28.0,170.0,113.0,98.0,3
540,5.0,28.0,170.0,185.0,7.0,12
541,5.0,28.0,170.0,185.0,28.0,5
542,5.0,28.0,170.0,185.0,49.0,4
543,5.0,28.0,170.0,185.0,77.0,3
544,5.0,28.0,170.0,185.0,98.0,3
545,5.0,28.0,170.0,239.0,7.0,10
546,5.0,28.0,170.0,239.0,28.0,4
547,5.0,28.0,170.0,239.0,49.0,3
548,5.0,28.0,170.0,239.0,77.0,3
549,5.0,28.0,170.0,239.0,98.0,3
550,5.0,28.0,190.0,5.0,7.0,72
551,5.0,28.0,190.0,5.0,28.0,52
552,5.0,28.0,190.0,5.0,49.0,41
553,5.0,28.0,190.0,5.0,77.0,31
554,5.0,28.0,190.0,5.0,98.0,27
555,5.0,28.0,190.0,59.0,7.0,29
556,5.0,28.0,190.0,59.0,28.0,11
557,5.0,28.0,190.0,59.0,49.0,8
558,5.0,28.0,190.0,59.0,77.0,6
559,5.0,28.0,190.0,59.0,98.0,5
560,5.0,28.0,190.0,113.0,7.0,20
561,5.0,28.0,190.0,113.0,28.0,7
562,5.0,28.0,190.0,113.0,49.0,5
563,5.0,28.0,190.0,113.0,77.0,4
564,5.0,28.0,190.0,113.0,98.0,4
565,5.0,28.0,190.0,185.0,7.0,14
566,5.0,28.0,190.0,185.0,28.0,5
567,5.0,28.0,190.0,185.0,49.0,4
568,5.0,28.0,190.0,185.0,77.0,3
569,5.0,28.0,190.0,185.0,98.0,3
570,5.0,28.0,190.0,239.0,7.0,11
571,5.0,28.0,190.0,239.0,28.0,5
572,5.0,28.0,190.0,239.0,49.0,3
573,5.0,28.0,190.0,239.0,77.0,3
574,5.0,28.0,190.0,239.0,98.0,3
575,5.0,28.0,210.0,5.0,7.0,80
576,5.0,28.0,210.0,5.0,28.0,57
577,5.0,28.0,210.0,5.0,49.0,45
578,5.0,28.0,210.0,5.0,77.0,34
579,5.0,28.0,210.0,5.0,98.0,30
