,Attack,Attacker_Level,Defense,Defender_Level,Attacker_Defender_Value
41,5.0,7.0,185.0,21.0,0.005853658536585366
42,5.0,7.0,185.0,35.0,0.0035820895522388056
43,5.0,7.0,185.0,49.0,0.0025806451612903226
44,5.0,7.0,185.0,63.0,0.002016806722689076
45,5.0,7.0,185.0,77.0,0.001660899653979239
46,5.0,7.0,185.0,91.0,0.0014076246334310853
47,5.0,7.0,185.0,98.0,0.0013079019073569482
48,5.0,7.0,221.0,7.0,0.013714285714285714
49,5.0,7.0,221.0,21.0,0.004948453608247422
50,5.0,7.0,221.0,35.0,0.0030188679245283017
51,5.0,7.0,221.0,49.0,0.0021719457013574662
52,5.0,7.0,221.0,63.0,0.001696113074204947
53,5.0,7.0,221.0,77.0,0.001391304347826087
54,5.0,7.0,221.0,91.0,0.0011793611793611794
55,5.0,7.0,221.0,98.0,0.001095890410958904
56,5.0,7.0,239.0,7.0,0.01263157894736842
57,5.0,7.0,239.0,21.0,0.004571428571428571
58,5.0,7.0,239.0,35.0,0.0027906976744186047
59,5.0,7.0,239.0,49.0,0.0020083682008368202
60,5.0,7.0,239.0,63.0,0.0015686274509803923
61,5.0,7.0,239.0,77.0,0.00128686327077748
62,5.0,7.0,239.0,91.0,0.0010933940774487472
63,5.0,7.0,239.0,98.0,0.001014799154334038
64,5.0,21.0,5.0,7.0,0.2912
65,5.0,21.0,5.0,21.0,0.20800000000000002
66,5.0,21.0,5.0,35.0,0.18200000000000002
67,5.0,21.0,5.0,49.0,0.1617777777777778
68,5.0,21.0,5.0,63.0,0.13236363636363638
69,5.0,21.0,5.0,77.0,0.12133333333333335
70,5.0,21.0,5.0,91.0,0.10400000000000001
71,5.0,21.0,5.0,98.0,0.10400000000000001
72,5.0,21.0,41.0,7.0,0.1456
73,5.0,21.0,41.0,21.0,0.06618181818181819
74,5.0,21.0,41.0,35.0,0.044121212121212124
75,5.0,21.0,41.0,49.0,0.03235555555555556
76,5.0,21.0,41.0,63.0,0.026000000000000002
77,5.0,21.0,41.0,77.0,0.021411764705882352
78,5.0,21.0,41.0,91.0,0.018430379746835444
79,5.0,21.0,41.0,98.0,0.017129411764705883
80,5.0,21.0,77.0,7.0,0.09706666666666668
81,5.0,21.0,77.0,21.0,0.03935135135135136
82,5.0,21.0,77.0,35.0,0.025103448275862073
83,5.0,21.0,77.0,49.0,0.0182
84,5.0,21.0,77.0,63.0,0.014274509803921571
85,5.0,21.0,77.0,77.0,0.01183739837398374
86,5.0,21.0,77.0,91.0,0.010041379310344828
87,5.0,21.0,77.0,98.0,0.009393548387096775
88,5.0,21.0,113.0,7.0,0.0728
89,5.0,21.0,113.0,21.0,0.028
90,5.0,21.0,113.0,35.0,0.017333333333333333
91,5.0,21.0,113.0,49.0,0.012660869565217394
92,5.0,21.0,113.0,63.0,0.009904761904761906
93,5.0,21.0,113.0,77.0,0.008134078212290504
94,5.0,21.0,113.0,91.0,0.006933333333333334
95,5.0,21.0,113.0,98.0,0.006442477876106195
96,5.0,21.0,149.0,7.0,0.058240000000000014
97,5.0,21.0,149.0,21.0,0.021731343283582092
98,5.0,21.0,149.0,35.0,0.013357798165137616
99,5.0,21.0,149.0,49.0,0.009642384105960265
100,5.0,21.0,149.0,63.0,0.007583333333333334
101,5.0,21.0,149.0,77.0,0.006222222222222223
102,5.0,21.0,149.0,91.0,0.00527536231884058
103,5.0,21.0,149.0,98.0,0.004902356902356903
104,5.0,21.0,185.0,7.0,0.04853333333333334
105,5.0,21.0,185.0,21.0,0.01775609756097561
106,5.0,21.0,185.0,35.0,0.010865671641791046
107,5.0,21.0,185.0,49.0,0.007827956989247313
108,5.0,21.0,185.0,63.0,0.00611764705882353
109,5.0,21.0,185.0,77.0,0.005038062283737025
110,5.0,21.0,185.0,91.0,0.004269794721407625
111,5.0,21.0,185.0,98.0,0.003967302452316077
112,5.0,21.0,221.0,7.0,0.041600000000000005
113,5.0,21.0,221.0,21.0,0.015010309278350516
114,5.0,21.0,221.0,35.0,0.009157232704402517
115,5.0,21.0,221.0,49.0,0.006588235294117647
116,5.0,21.0,221.0,63.0,0.0051448763250883395
117,5.0,21.0,221.0,77.0,0.004220289855072464
118,5.0,21.0,221.0,91.0,0.0035773955773955777
119,5.0,21.0,221.0,98.0,0.003324200913242009
120,5.0,21.0,239.0,7.0,0.03831578947368421
121,5.0,21.0,239.0,21.0,0.013866666666666668
122,5.0,21.0,239.0,35.0,0.008465116279069769
123,5.0,21.0,239.0,49.0,0.006092050209205021
124,5.0,21.0,239.0,63.0,0.0047581699346405226
125,5.0,21.0,239.0,77.0,0.003903485254691689
126,5.0,21.0,239.0,91.0,0.0033166287015945336
127,5.0,21.0,239.0,98.0,0.0030782241014799157
128,5.0,35.0,5.0,7.0,0.512
129,5.0,35.0,5.0,21.0,0.3657142857142857
130,5.0,35.0,5.0,35.0,0.32
131,5.0,35.0,5.0,49.0,0.28444444444444444
132,5.0,35.0,5.0,63.0,0.23272727272727273
133,5.0,35.0,5.0,77.0,0.21333333333333332
134,5.0,35.0,5.0,91.0,0.18285714285714286
135,5.0,35.0,5.0,98.0,0.18285714285714286
136,5.0,35.0,41.0,7.0,0.256
137,5.0,35.0,41.0,21.0,0.11636363636363636
138,5.0,35.0,41.0,35.0,0.07757575757575758
139,5.0,35.0,41.0,49.0,0.05688888888888889
140,5.0,35.0,41.0,63.0,0.045714285714285714
141,5.0,35.0,41.0,77.0,0.037647058823529415
142,5.0,35.0,41.0,91.0,0.03240506329113924
143,5.0,35.0,41.0,98.0,0.03011764705882353
144,5.0,35.0,77.0,7.0,0.17066666666666666
145,5.0,35.0,77.0,21.0,0.06918918918918919
146,5.0,35.0,77.0,35.0,0.04413793103448276
147,5.0,35.0,77.0,49.0,0.032
148,5.0,35.0,77.0,63.0,0.025098039215686273
149,5.0,35.0,77.0,77.0,0.020813008130081304
150,5.0,35.0,77.0,91.0,0.017655172413793104
151,5.0,35.0,77.0,98.0,0.016516129032258065
152,5.0,35.0,113.0,7.0,0.128
153,5.0,35.0,113.0,21.0,0.04923076923076924
154,5.0,35.0,113.0,35.0,0.030476190476190476
155,5.0,35.0,113.0,49.0,0.022260869565217393
156,5.0,35.0,113.0,63.0,0.017414965986394557
157,5.0,35.0,113.0,77.0,0.014301675977653631
158,5.0,35.0,113.0,91.0,0.012190476190476193
159,5.0,35.0,113.0,98.0,0.011327433628318584
160,5.0,35.0,149.0,7.0,0.1024
161,5.0,35.0,149.0,21.0,0.0382089552238806
162,5.0,35.0,149.0,35.0,0.023486238532110095
163,5.0,35.0,149.0,49.0,0.01695364238410596
164,5.0,35.0,149.0,63.0,0.013333333333333332
165,5.0,35.0,149.0,77.0,0.010940170940170942
166,5.0,35.0,149.0,91.0,0.00927536231884058
167,5.0,35.0,149.0,98.0,0.008619528619528619
168,5.0,35.0,185.0,7.0,0.08533333333333333
169,5.0,35.0,185.0,21.0,0.031219512195121955
170,5.0,35.0,185.0,35.0,0.0191044776119403
171,5.0,35.0,185.0,49.0,0.013763440860215055
172,5.0,35.0,185.0,63.0,0.010756302521008404
173,5.0,35.0,185.0,77.0,0.008858131487889274
174,5.0,35.0,185.0,91.0,0.00750733137829912
175,5.0,35.0,185.0,98.0,0.006975476839237057
176,5.0,35.0,221.0,7.0,0.07314285714285715
177,5.0,35.0,221.0,21.0,0.02639175257731959
178,5.0,35.0,221.0,35.0,0.016100628930817613
179,5.0,35.0,221.0,49.0,0.01158371040723982
180,5.0,35.0,221.0,63.0,0.009045936395759718
181,5.0,35.0,221.0,77.0,0.007420289855072464
182,5.0,35.0,221.0,91.0,0.00628992628992629
183,5.0,35.0,221.0,98.0,0.005844748858447489
184,5.0,35.0,239.0,7.0,0.06736842105263158
185,5.0,35.0,239.0,21.0,0.024380952380952385
186,5.0,35.0,239.0,35.0,0.014883720930232559
187,5.0,35.0,239.0,49.0,0.010711297071129706
188,5.0,35.0,239.0,63.0,0.008366013071895426
189,5.0,35.0,239.0,77.0,0.006863270777479893
190,5.0,35.0,239.0,91.0,0.005831435079726651
191,5.0,35.0,239.0,98.0,0.0054122621564482035
192,5.0,49.0,5.0,7.0,0.7776000000000001
193,5.0,49.0,5.0,21.0,0.5554285714285715
194,5.0,49.0,5.0,35.0,0.48600000000000004
195,5.0,49.0,5.0,49.0,0.43200000000000005
196,5.0,49.0,5.0,63.0,0.3534545454545455
197,5.0,49.0,5.0,77.0,0.32400000000000007
198,5.0,49.0,5.0,91.0,0.27771428571428575
199,5.0,49.0,5.0,98.0,0.27771428571428575
200,5.0,49.0,41.0,7.0,0.38880000000000003
201,5.0,49.0,41.0,21.0,0.17672727272727276
202,5.0,49.0,41.0,35.0,0.11781818181818182
203,5.0,49.0,41.0,49.0,0.08640000000000002
204,5.0,49.0,41.0,63.0,0.06942857142857144
205,5.0,49.0,41.0,77.0,0.0571764705882353
206,5.0,49.0,41.0,91.0,0.049215189873417726
207,5.0,49.0,41.0,98.0,0.04574117647058824
208,5.0,49.0,77.0,7.0,0.25920000000000004
209,5.0,49.0,77.0,21.0,0.10508108108108109
210,5.0,49.0,77.0,35.0,0.0670344827586207
211,5.0,49.0,77.0,49.0,0.048600000000000004
212,5.0,49.0,77.0,63.0,0.038117647058823534
213,5.0,49.0,77.0,77.0,0.031609756097560976
214,5.0,49.0,77.0,91.0,0.02681379310344828
215,5.0,49.0,77.0,98.0,0.02508387096774194
216,5.0,49.0,113.0,7.0,0.19440000000000002
217,5.0,49.0,113.0,21.0,0.07476923076923078
218,5.0,49.0,113.0,35.0,0.04628571428571429
219,5.0,49.0,113.0,49.0,0.03380869565217392
220,5.0,49.0,113.0,63.0,0.026448979591836737
221,5.0,49.0,113.0,77.0,0.021720670391061455
222,5.0,49.0,113.0,91.0,0.018514285714285716
223,5.0,49.0,113.0,98.0,0.017203539823008852
224,5.0,49.0,149.0,7.0,0.15552000000000002
225,5.0,49.0,149.0,21.0,0.058029850746268666
226,5.0,49.0,149.0,35.0,0.03566972477064221
227,5.0,49.0,149.0,49.0,0.025748344370860928
228,5.0,49.0,149.0,63.0,0.020250000000000004
229,5.0,49.0,149.0,77.0,0.01661538461538462
230,5.0,49.0,149.0,91.0,0.014086956521739132
231,5.0,49.0,149.0,98.0,0.013090909090909092
232,5.0,49.0,185.0,7.0,0.12960000000000002
233,5.0,49.0,185.0,21.0,0.04741463414634147
234,5.0,49.0,185.0,35.0,0.029014925373134333
235,5.0,49.0,185.0,49.0,0.020903225806451615
236,5.0,49.0,185.0,63.0,0.016336134453781515
237,5.0,49.0,185.0,77.0,0.013453287197231835
238,5.0,49.0,185.0,91.0,0.01140175953079179
239,5.0,49.0,185.0,98.0,0.010594005449591283
240,5.0,49.0,221.0,7.0,0.11108571428571429
241,5.0,49.0,221.0,21.0,0.04008247422680413
242,5.0,49.0,221.0,35.0,0.024452830188679248
243,5.0,49.0,221.0,49.0,0.017592760180995478
244,5.0,49.0,221.0,63.0,0.013738515901060072
245,5.0,49.0,221.0,77.0,0.011269565217391305
246,5.0,49.0,221.0,91.0,0.009552825552825554
247,5.0,49.0,221.0,98.0,0.008876712328767123
248,5.0,49.0,239.0,7.0,0.10231578947368422
249,5.0,49.0,239.0,21.0,0.03702857142857143
250,5.0,49.0,239.0,35.0,0.0226046511627907
251,5.0,49.0,239.0,49.0,0.016267782426778246
252,5.0,49.0,239.0,63.0,0.012705882352941178
253,5.0,49.0,239.0,77.0,0.010423592493297587
254,5.0,49.0,239.0,91.0,0.008856492027334854
255,5.0,49.0,239.0,98.0,0.00821987315010571
256,5.0,63.0,5.0,7.0,1.1968
257,5.0,63.0,5.0,21.0,0.8548571428571429
258,5.0,63.0,5.0,35.0,0.748
259,5.0,63.0,5.0,49.0,0.664888888888889
260,5.0,63.0,5.0,63.0,0.544
261,5.0,63.0,5.0,77.0,0.4986666666666667
262,5.0,63.0,5.0,91.0,0.42742857142857144
263,5.0,63.0,5.0,98.0,0.42742857142857144
264,5.0,63.0,41.0,7.0,0.5984
265,5.0,63.0,41.0,21.0,0.272
266,5.0,63.0,41.0,35.0,0.18133333333333335
267,5.0,63.0,41.0,49.0,0.13297777777777778
268,5.0,63.0,41.0,63.0,0.10685714285714286
269,5.0,63.0,41.0,77.0,0.08800000000000001
270,5.0,63.0,41.0,91.0,0.07574683544303798
271,5.0,63.0,41.0,98.0,0.07040000000000002
272,5.0,63.0,77.0,7.0,0.3989333333333333
273,5.0,63.0,77.0,21.0,0.16172972972972974
274,5.0,63.0,77.0,35.0,0.10317241379310345
275,5.0,63.0,77.0,49.0,0.0748
276,5.0,63.0,77.0,63.0,0.05866666666666667
277,5.0,63.0,77.0,77.0,0.04865040650406505
278,5.0,63.0,77.0,91.0,0.04126896551724138
279,5.0,63.0,77.0,98.0,0.03860645161290323
280,5.0,63.0,113.0,7.0,0.2992
281,5.0,63.0,113.0,21.0,0.11507692307692309
282,5.0,63.0,113.0,35.0,0.07123809523809525
283,5.0,63.0,113.0,49.0,0.05203478260869566
284,5.0,63.0,113.0,63.0,0.040707482993197285
285,5.0,63.0,113.0,77.0,0.03343016759776536
286,5.0,63.0,113.0,91.0,0.028495238095238098
287,5.0,63.0,113.0,98.0,0.026477876106194693
288,5.0,63.0,149.0,7.0,0.23936000000000002
289,5.0,63.0,149.0,21.0,0.0893134328358209
290,5.0,63.0,149.0,35.0,0.05489908256880734
291,5.0,63.0,149.0,49.0,0.03962913907284769
292,5.0,63.0,149.0,63.0,0.03116666666666667
293,5.0,63.0,149.0,77.0,0.025572649572649573
294,5.0,63.0,149.0,91.0,0.021681159420289853
295,5.0,63.0,149.0,98.0,0.020148148148148148
296,5.0,63.0,185.0,7.0,0.19946666666666665
297,5.0,63.0,185.0,21.0,0.07297560975609757
298,5.0,63.0,185.0,35.0,0.04465671641791045
299,5.0,63.0,185.0,49.0,0.032172043010752695
300,5.0,63.0,185.0,63.0,0.025142857142857147
301,5.0,63.0,185.0,77.0,0.020705882352941178
302,5.0,63.0,185.0,91.0,0.017548387096774195
303,5.0,63.0,185.0,98.0,0.016305177111716623
304,5.0,63.0,221.0,7.0,0.17097142857142858
305,5.0,63.0,221.0,21.0,0.06169072164948454
306,5.0,63.0,221.0,35.0,0.03763522012578616
307,5.0,63.0,221.0,49.0,0.02707692307692308
308,5.0,63.0,221.0,63.0,0.02114487632508834
309,5.0,63.0,221.0,77.0,0.017344927536231885
310,5.0,63.0,221.0,91.0,0.014702702702702705
311,5.0,63.0,221.0,98.0,0.013662100456621005
312,5.0,63.0,239.0,7.0,0.15747368421052632
313,5.0,63.0,239.0,21.0,0.056990476190476196
314,5.0,63.0,239.0,35.0,0.03479069767441861
315,5.0,63.0,239.0,49.0,0.025037656903765693
316,5.0,63.0,239.0,63.0,0.019555555555555555
317,5.0,63.0,239.0,77.0,0.01604289544235925
318,5.0,63.0,239.0,91.0,0.013630979498861048
319,5.0,63.0,239.0,98.0,0.012651162790697675
320,5.0,77.0,5.0,7.0,1.5743999999999998
321,5.0,77.0,5.0,21.0,1.1245714285714283
322,5.0,77.0,5.0,35.0,0.9839999999999999
323,5.0,77.0,5.0,49.0,0.8746666666666665
324,5.0,77.0,5.0,63.0,0.7156363636363635
325,5.0,77.0,5.0,77.0,0.6559999999999999
326,5.0,77.0,5.0,91.0,0.5622857142857142
327,5.0,77.0,5.0,98.0,0.5622857142857142
328,5.0,77.0,41.0,7.0,0.7871999999999999
329,5.0,77.0,41.0,21.0,0.35781818181818176
330,5.0,77.0,41.0,35.0,0.23854545454545453
331,5.0,77.0,41.0,49.0,0.1749333333333333
332,5.0,77.0,41.0,63.0,0.14057142857142854
333,5.0,77.0,41.0,77.0,0.11576470588235294
334,5.0,77.0,41.0,91.0,0.09964556962025316
335,5.0,77.0,41.0,98.0,0.09261176470588234
336,5.0,77.0,77.0,7.0,0.5247999999999999
337,5.0,77.0,77.0,21.0,0.21275675675675673
338,5.0,77.0,77.0,35.0,0.13572413793103447
339,5.0,77.0,77.0,49.0,0.09839999999999999
340,5.0,77.0,77.0,63.0,0.07717647058823528
341,5.0,77.0,77.0,77.0,0.06399999999999999
342,5.0,77.0,77.0,91.0,0.054289655172413784
343,5.0,77.0,77.0,98.0,0.050787096774193546
344,5.0,77.0,113.0,7.0,0.39359999999999995
345,5.0,77.0,113.0,21.0,0.15138461538461537
346,5.0,77.0,113.0,35.0,0.0937142857142857
347,5.0,77.0,113.0,49.0,0.06845217391304347
348,5.0,77.0,113.0,63.0,0.05355102040816325
349,5.0,77.0,113.0,77.0,0.04397765363128491
350,5.0,77.0,113.0,91.0,0.03748571428571428
351,5.0,77.0,113.0,98.0,0.03483185840707964
352,5.0,77.0,149.0,7.0,0.31487999999999994
353,5.0,77.0,149.0,21.0,0.11749253731343282
354,5.0,77.0,149.0,35.0,0.07222018348623853
355,5.0,77.0,149.0,49.0,0.052132450331125825
356,5.0,77.0,149.0,63.0,0.040999999999999995
357,5.0,77.0,149.0,77.0,0.03364102564102563
358,5.0,77.0,149.0,91.0,0.02852173913043478
359,5.0,77.0,149.0,98.0,0.026505050505050504
360,5.0,77.0,185.0,7.0,0.26239999999999997
361,5.0,77.0,185.0,21.0,0.09599999999999999
362,5.0,77.0,185.0,35.0,0.05874626865671641
363,5.0,77.0,185.0,49.0,0.042322580645161284
364,5.0,77.0,185.0,63.0,0.033075630252100835
365,5.0,77.0,185.0,77.0,0.02723875432525951
366,5.0,77.0,185.0,91.0,0.023085043988269795
367,5.0,77.0,185.0,98.0,0.021449591280653945
368,5.0,77.0,221.0,7.0,0.22491428571428568
369,5.0,77.0,221.0,21.0,0.08115463917525773
370,5.0,77.0,221.0,35.0,0.04950943396226414
371,5.0,77.0,221.0,49.0,0.03561990950226244
372,5.0,77.0,221.0,63.0,0.027816254416961127
373,5.0,77.0,221.0,77.0,0.022817391304347824
374,5.0,77.0,221.0,91.0,0.01934152334152334
375,5.0,77.0,221.0,98.0,0.017972602739726024
376,5.0,77.0,239.0,7.0,0.20715789473684207
377,5.0,77.0,239.0,21.0,0.07497142857142856
378,5.0,77.0,239.0,35.0,0.04576744186046511
379,5.0,77.0,239.0,49.0,0.03293723849372385
380,5.0,77.0,239.0,63.0,0.025725490196078428
381,5.0,77.0,239.0,77.0,0.021104557640750667
382,5.0,77.0,239.0,91.0,0.017931662870159452
383,5.0,77.0,239.0,98.0,0.01664270613107822
384,5.0,91.0,5.0,7.0,2.1504
385,5.0,91.0,5.0,21.0,1.536
386,5.0,91.0,5.0,35.0,1.344
387,5.0,91.0,5.0,49.0,1.1946666666666668
388,5.0,91.0,5.0,63.0,0.9774545454545455
389,5.0,91.0,5.0,77.0,0.8960000000000001
390,5.0,91.0,5.0,91.0,0.768
391,5.0,91.0,5.0,98.0,0.768
392,5.0,91.0,41.0,7.0,1.0752
393,5.0,91.0,41.0,21.0,0.48872727272727273
394,5.0,91.0,41.0,35.0,0.32581818181818184
395,5.0,91.0,41.0,49.0,0.23893333333333333
396,5.0,91.0,41.0,63.0,0.192
397,5.0,91.0,41.0,77.0,0.15811764705882353
398,5.0,91.0,41.0,91.0,0.1361012658227848
399,5.0,91.0,41.0,98.0,0.1264941176470588
400,5.0,91.0,77.0,7.0,0.7168
401,5.0,91.0,77.0,21.0,0.29059459459459464
402,5.0,91.0,77.0,35.0,0.1853793103448276
403,5.0,91.0,77.0,49.0,0.1344
404,5.0,91.0,77.0,63.0,0.10541176470588236
405,5.0,91.0,77.0,77.0,0.08741463414634146
406,5.0,91.0,77.0,91.0,0.07415172413793103
407,5.0,91.0,77.0,98.0,0.06936774193548387
408,5.0,91.0,113.0,7.0,0.5376
409,5.0,91.0,113.0,21.0,0.20676923076923076
410,5.0,91.0,113.0,35.0,0.128
411,5.0,91.0,113.0,49.0,0.09349565217391305
412,5.0,91.0,113.0,63.0,0.07314285714285713
413,5.0,91.0,113.0,77.0,0.060067039106145255
414,5.0,91.0,113.0,91.0,0.0512
415,5.0,91.0,113.0,98.0,0.04757522123893805
416,5.0,91.0,149.0,7.0,0.4300800000000001
417,5.0,91.0,149.0,21.0,0.1604776119402985
418,5.0,91.0,149.0,35.0,0.09864220183486239
419,5.0,91.0,149.0,49.0,0.07120529801324503
420,5.0,91.0,149.0,63.0,0.05600000000000001
421,5.0,91.0,149.0,77.0,0.04594871794871795
422,5.0,91.0,149.0,91.0,0.03895652173913044
423,5.0,91.0,149.0,98.0,0.0362020202020202
424,5.0,91.0,185.0,7.0,0.3584
425,5.0,91.0,185.0,21.0,0.1311219512195122
426,5.0,91.0,185.0,35.0,0.08023880597014925
427,5.0,91.0,185.0,49.0,0.05780645161290323
428,5.0,91.0,185.0,63.0,0.0451764705882353
429,5.0,91.0,185.0,77.0,0.037204152249134946
430,5.0,91.0,185.0,91.0,0.0315307917888563
431,5.0,91.0,185.0,98.0,0.029297002724795643
432,5.0,91.0,221.0,7.0,0.30720000000000003
433,5.0,91.0,221.0,21.0,0.11084536082474226
434,5.0,91.0,221.0,35.0,0.06762264150943396
435,5.0,91.0,221.0,49.0,0.04865158371040724
436,5.0,91.0,221.0,63.0,0.03799293286219081
437,5.0,91.0,221.0,77.0,0.031165217391304345
438,5.0,91.0,221.0,91.0,0.026417690417690418
439,5.0,91.0,221.0,98.0,0.02454794520547945
440,5.0,91.0,239.0,7.0,0.2829473684210526
441,5.0,91.0,239.0,21.0,0.1024
442,5.0,91.0,239.0,35.0,0.06251162790697674
443,5.0,91.0,239.0,49.0,0.04498744769874477
444,5.0,91.0,239.0,63.0,0.035137254901960784
445,5.0,91.0,239.0,77.0,0.028825737265415548
446,5.0,91.0,239.0,91.0,0.024492027334851937
447,5.0,91.0,239.0,98.0,0.02273150105708245
448,5.0,98.0,5.0,7.0,2.3072
449,5.0,98.0,5.0,21.0,1.6480000000000001
450,5.0,98.0,5.0,35.0,1.4420000000000002
451,5.0,98.0,5.0,49.0,1.281777777777778
452,5.0,98.0,5.0,63.0,1.0487272727272727
453,5.0,98.0,5.0,77.0,0.9613333333333335
454,5.0,98.0,5.0,91.0,0.8240000000000001
455,5.0,98.0,5.0,98.0,0.8240000000000001
456,5.0,98.0,41.0,7.0,1.1536
457,5.0,98.0,41.0,21.0,0.5243636363636364
458,5.0,98.0,41.0,35.0,0.3495757575757576
459,5.0,98.0,41.0,49.0,0.25635555555555556
460,5.0,98.0,41.0,63.0,0.20600000000000002
461,5.0,98.0,41.0,77.0,0.16964705882352943
462,5.0,98.0,41.0,91.0,0.14602531645569622
463,5.0,98.0,41.0,98.0,0.13571764705882353
464,5.0,98.0,77.0,7.0,0.7690666666666668
465,5.0,98.0,77.0,21.0,0.31178378378378385
466,5.0,98.0,77.0,35.0,0.19889655172413795
467,5.0,98.0,77.0,49.0,0.1442
468,5.0,98.0,77.0,63.0,0.1130980392156863
469,5.0,98.0,77.0,77.0,0.09378861788617887
470,5.0,98.0,77.0,91.0,0.07955862068965518
471,5.0,98.0,77.0,98.0,0.07442580645161291
472,5.0,98.0,113.0,7.0,0.5768
473,5.0,98.0,113.0,21.0,0.22184615384615386
474,5.0,98.0,113.0,35.0,0.13733333333333334
475,5.0,98.0,113.0,49.0,0.10031304347826088
476,5.0,98.0,113.0,63.0,0.07847619047619048
477,5.0,98.0,113.0,77.0,0.06444692737430169
478,5.0,98.0,113.0,91.0,0.054933333333333334
479,5.0,98.0,113.0,98.0,0.051044247787610623
480,5.0,98.0,149.0,7.0,0.4614400000000001
481,5.0,98.0,149.0,21.0,0.17217910447761195
482,5.0,98.0,149.0,35.0,0.10583486238532111
483,5.0,98.0,149.0,49.0,0.0763973509933775
484,5.0,98.0,149.0,63.0,0.06008333333333334
485,5.0,98.0,149.0,77.0,0.04929914529914531
486,5.0,98.0,149.0,91.0,0.04179710144927537
487,5.0,98.0,149.0,98.0,0.038841750841750844
488,5.0,98.0,185.0,7.0,0.3845333333333334
489,5.0,98.0,185.0,21.0,0.1406829268292683
490,5.0,98.0,185.0,35.0,0.08608955223880597
491,5.0,98.0,185.0,49.0,0.06202150537634409
492,5.0,98.0,185.0,63.0,0.04847058823529412
493,5.0,98.0,185.0,77.0,0.03991695501730104
494,5.0,98.0,185.0,91.0,0.03382991202346041
495,5.0,98.0,185.0,98.0,0.031433242506811995
496,5.0,98.0,221.0,7.0,0.32960000000000006
497,5.0,98.0,221.0,21.0,0.11892783505154639
498,5.0,98.0,221.0,35.0,0.07255345911949686
499,5.0,98.0,221.0,49.0,0.05219909502262444
500,5.0,98.0,221.0,63.0,0.04076325088339223
501,5.0,98.0,221.0,77.0,0.03343768115942029
502,5.0,98.0,221.0,91.0,0.028343980343980345
503,5.0,98.0,221.0,98.0,0.026337899543378996
504,5.0,98.0,239.0,7.0,0.30357894736842106
505,5.0,98.0,239.0,21.0,0.10986666666666667
506,5.0,98.0,239.0,35.0,0.06706976744186048
507,5.0,98.0,239.0,49.0,0.04826778242677825
508,5.0,98.0,239.0,63.0,0.03769934640522876
509,5.0,98.0,239.0,77.0,0.030927613941018766
510,5.0,98.0,239.0,91.0,0.02627790432801823
511,5.0,98.0,239.0,98.0,0.024389006342494714
512,41.0,7.0,5.0,7.0,0.192
513,41.0,7.0,5.0,21.0,0.13714285714285715
514,41.0,7.0,5.0,35.0,0.12
515,41.0,7.0,5.0,49.0,0.10666666666666667
516,41.0,7.0,5.0,63.0,0.08727272727272727
517,41.0,7.0,5.0,77.0,0.08
518,41.0,7.0,5.0,91.0,0.06857142857142857
519,41.0,7.0,5.0,98.0,0.06857142857142857
520,41.0,7.0,41.0,7.0,0.096
521,41.0,7.0,41.0,21.0,0.04363636363636363
522,41.0,7.0,41.0,35.0,0.02909090909090909
